sourceName,sourceVersion,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit,creationDate,startDate,endDate
Brian’s Apple Watch,4.3.2,CrossTraining,41.86112713416417,min,0,mi,239.1149999999975,kcal,2018-08-14 05:49:41 -0600,2018-08-14 05:07:41 -0600,2018-08-14 05:49:36 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,31.6151321987311,min,0,mi,258.2819999999982,kcal,2018-08-14 06:21:22 -0600,2018-08-14 05:49:41 -0600,2018-08-14 06:21:18 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,41.67163555026055,min,0,mi,373.4340000000025,kcal,2018-08-14 16:10:55 -0600,2018-08-14 15:29:11 -0600,2018-08-14 16:10:51 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,30.10402824878692,min,0,mi,270.7150000000001,kcal,2018-08-15 05:43:04 -0600,2018-08-15 05:12:54 -0600,2018-08-15 05:43:00 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,57.04390056530634,min,0,mi,328.417000000002,kcal,2018-08-15 18:57:02 -0600,2018-08-15 17:59:49 -0600,2018-08-15 18:56:52 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,69.18598433335622,min,0,mi,550.3979999999974,kcal,2018-08-17 06:08:44 -0600,2018-08-17 04:59:26 -0600,2018-08-17 06:08:37 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,2.38858136733373,min,0,mi,9.198000000000004,kcal,2018-08-18 08:48:24 -0600,2018-08-18 08:45:55 -0600,2018-08-18 08:48:18 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,59.91157125035922,min,0,mi,334.3560000000005,kcal,2018-08-18 10:00:45 -0600,2018-08-18 09:00:43 -0600,2018-08-18 10:00:37 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,37.89806510011355,min,0,mi,335.5480000000001,kcal,2018-08-18 15:04:35 -0600,2018-08-18 14:26:35 -0600,2018-08-18 15:04:29 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,58.1117434322834,min,0,mi,404.5179999999984,kcal,2018-08-20 05:57:13 -0600,2018-08-20 04:59:01 -0600,2018-08-20 05:57:07 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,17.83697440028191,min,0,mi,151.6669999999998,kcal,2018-08-20 17:22:55 -0600,2018-08-20 17:05:00 -0600,2018-08-20 17:22:50 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,6.809058334430059,min,0,mi,73.04100000000001,kcal,2018-08-20 17:35:13 -0600,2018-08-20 17:28:20 -0600,2018-08-20 17:35:08 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,49.85614413221677,min,0,mi,373.5639999999992,kcal,2018-08-21 05:50:26 -0600,2018-08-21 05:00:15 -0600,2018-08-21 05:50:07 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,51.04131429990132,min,0,mi,413.3540000000012,kcal,2018-08-21 17:13:53 -0600,2018-08-21 16:22:32 -0600,2018-08-21 17:13:35 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,42.04202215075493,min,0,mi,339.8640000000006,kcal,2018-08-22 05:40:12 -0600,2018-08-22 04:58:04 -0600,2018-08-22 05:40:07 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,50.14029050072034,min,0,mi,363.2499999999991,kcal,2018-08-22 17:11:05 -0600,2018-08-22 16:20:34 -0600,2018-08-22 17:10:42 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,42.35760010083516,min,0,mi,326.9270000000004,kcal,2018-08-24 07:00:30 -0600,2018-08-24 06:12:11 -0600,2018-08-24 07:00:24 -0600
Brian’s Apple Watch,4.3.2,Running,1.660693166653315,min,0.01276937175333155,mi,1.363,kcal,2018-08-26 08:25:50 -0600,2018-08-26 08:24:04 -0600,2018-08-26 08:25:43 -0600
Brian’s Apple Watch,4.3.2,Running,44.47120959957441,min,5.017479044167813,mi,514.0010000000013,kcal,2018-08-26 09:10:39 -0600,2018-08-26 08:26:02 -0600,2018-08-26 09:10:30 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,34.39005581736565,min,0,mi,222.5270000000009,kcal,2018-08-26 17:49:59 -0600,2018-08-26 17:15:30 -0600,2018-08-26 17:49:54 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,59.19765045046806,min,0,mi,355.5239999999991,kcal,2018-08-27 05:55:36 -0600,2018-08-27 04:55:55 -0600,2018-08-27 05:55:21 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,61.68430026570956,min,0,mi,350.7849999999998,kcal,2018-08-27 18:06:11 -0600,2018-08-27 17:04:25 -0600,2018-08-27 18:06:06 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,55.65811683336894,min,0,mi,395.3790000000037,kcal,2018-08-28 05:53:40 -0600,2018-08-28 04:57:49 -0600,2018-08-28 05:53:29 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,58.10029401580493,min,0,mi,380.1550000000051,kcal,2018-08-29 05:58:16 -0600,2018-08-29 05:00:01 -0600,2018-08-29 05:58:07 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,51.52915118336678,min,0,mi,527.236000000001,kcal,2018-08-30 05:51:17 -0600,2018-08-30 04:59:40 -0600,2018-08-30 05:51:12 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,39.62699510057767,min,0,mi,173.9289999999999,kcal,2018-08-30 18:00:25 -0600,2018-08-30 17:20:41 -0600,2018-08-30 18:00:19 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,45.449533867836,min,0,mi,321.1470000000009,kcal,2018-08-31 05:47:24 -0600,2018-08-31 05:01:53 -0600,2018-08-31 05:47:20 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,81.4579106827577,min,0,mi,464.6530000000039,kcal,2018-08-31 16:59:50 -0600,2018-08-31 15:38:14 -0600,2018-08-31 16:59:41 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,58.58826499978701,min,0,mi,375.5670000000009,kcal,2018-09-01 08:43:24 -0600,2018-09-01 07:44:40 -0600,2018-09-01 08:43:17 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,33.08354329864184,min,0,mi,260.4439999999996,kcal,2018-09-01 09:16:32 -0600,2018-09-01 08:43:24 -0600,2018-09-01 09:16:29 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,51.99977638324102,min,0,mi,613.4559999999988,kcal,2018-09-02 17:11:47 -0600,2018-09-02 16:19:35 -0600,2018-09-02 17:11:35 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,83.30977051655451,min,0,mi,572.5839999999977,kcal,2018-09-03 09:33:09 -0600,2018-09-03 08:09:17 -0600,2018-09-03 09:32:35 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,56.54379723469416,min,0,mi,468.2989999999979,kcal,2018-09-04 05:43:46 -0600,2018-09-04 04:47:05 -0600,2018-09-04 05:43:38 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,43.80605764985084,min,0,mi,256.3210000000005,kcal,2018-09-04 17:25:25 -0600,2018-09-04 16:41:29 -0600,2018-09-04 17:25:18 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,45.50702441533407,min,0,mi,288.2480000000022,kcal,2018-09-05 05:41:08 -0600,2018-09-05 04:55:32 -0600,2018-09-05 05:41:03 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,645.3351125160854,min,0,mi,583.4920000000025,kcal,2018-09-06 04:40:25 -0600,2018-09-05 17:00:50 -0600,2018-09-06 04:40:13 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,47.89898535013199,min,0,mi,207.984000000003,kcal,2018-09-06 05:28:31 -0600,2018-09-06 04:40:31 -0600,2018-09-06 05:28:25 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,38.0059555153052,min,0,mi,293.0479999999995,kcal,2018-09-06 16:38:12 -0600,2018-09-06 16:00:07 -0600,2018-09-06 16:38:07 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,51.32740700046222,min,0,mi,505.7839999999998,kcal,2018-09-07 05:54:35 -0600,2018-09-07 05:01:25 -0600,2018-09-07 05:54:31 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,29.04700213273366,min,0,mi,158.1619999999994,kcal,2018-09-07 17:24:35 -0600,2018-09-07 16:55:22 -0600,2018-09-07 17:24:25 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,56.86975025137266,min,0,mi,302.5150000000021,kcal,2018-09-08 09:03:52 -0600,2018-09-08 08:06:53 -0600,2018-09-08 09:03:46 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,32.26895045042038,min,0,mi,270.8500000000001,kcal,2018-09-08 13:26:02 -0600,2018-09-08 12:53:38 -0600,2018-09-08 13:25:54 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,60.02109326720237,min,0,mi,326.2769999999994,kcal,2018-09-09 17:11:58 -0600,2018-09-09 16:11:48 -0600,2018-09-09 17:11:49 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,46.53265855113666,min,0,mi,321.5719999999993,kcal,2018-09-10 05:51:40 -0600,2018-09-10 05:05:00 -0600,2018-09-10 05:51:32 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,60.78075836698214,min,0,mi,323.8430000000017,kcal,2018-09-11 06:00:16 -0600,2018-09-11 04:59:21 -0600,2018-09-11 06:00:07 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,39.33705306649208,min,0,mi,301.2300000000006,kcal,2018-09-11 17:37:03 -0600,2018-09-11 16:57:39 -0600,2018-09-11 17:36:59 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,36.30637891689936,min,0,mi,291.1400000000011,kcal,2018-09-12 05:45:58 -0600,2018-09-12 05:09:35 -0600,2018-09-12 05:45:53 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,65.72291123270989,min,0,mi,503.5450000000029,kcal,2018-09-12 17:49:21 -0600,2018-09-12 16:43:30 -0600,2018-09-12 17:49:14 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,62.45877439975739,min,0,mi,329.1060000000018,kcal,2018-09-14 10:36:43 -0600,2018-09-14 09:34:03 -0600,2018-09-14 10:36:31 -0600
Brian’s Apple Watch,4.3.2,CrossTraining,44.1193279504776,min,0,mi,229.9730000000012,kcal,2018-09-15 09:31:38 -0600,2018-09-15 08:47:21 -0600,2018-09-15 09:31:28 -0600
